Instruction	Opcode	Size	Timing Z80
ADC A,(HL)	8E	1	7
ADC A,(IX+o)	DD 8E o	3	19
ADC A,(IY+o)	FD 8E o	3	19
ADC A,IXp	DD 88+p	2	8
ADC A,IYq	FD 88+q	2	8
ADC A,n	CE n	2	7
ADC A,r	88+r	1	4
ADC HL,BC	ED 4A	2	15
ADC HL,DE	ED 5A	2	15
ADC HL,HL	ED 6A	2	15
ADC HL,SP	ED 7A	2	15
ADD A,(HL)	86	1	7
ADD A,(IX+o)	DD 86 o	3	19
ADD A,(IY+o)	FD 86 o	3	19
ADD A,IXp	DD 80+p	2	8
ADD A,IYq	FD 80+q	2	8
ADD A,n	C6 n	2	7
ADD A,r	80+r	1	4
ADD HL,BC	9	1	11
ADD HL,DE	19	1	11
ADD HL,HL	29	1	11
ADD HL,SP	39	1	11
ADD IX,BC	DD 09	2	15
ADD IX,DE	DD 19	2	15
ADD IX,IX	DD 29	2	15
ADD IX,SP	DD 39	2	15
ADD IY,BC	FD 09	2	15
ADD IY,DE	FD 19	2	15
ADD IY,IY	FD 29	2	15
ADD IY,SP	FD 39	2	15
AND (HL)	A6	1	7
AND (IX+o)	DD A6 o	3	19
AND (IY+o)	FD A6 o	3	19
AND IXp	DD A0+p	2	8
AND IYq	FD A0+q	2	8
AND n	E6 n	2	7
AND r	A0+r	1	4
BIT b,(HL)	CB 46+8*b	2	12
BIT b,(IX+o)	DD CB o 46+8*b	4	20
BIT b,(IY+o)	FD CB o 46+8*b	4	20
BIT b,r	CB 40+8*b+r	2	8
CALL C,nn	DC nn nn	3	17/10
CALL M,nn	FC nn nn	3	17/10
CALL NC,nn	D4 nn nn	3	17/10
CALL nn	CD nn nn	3	17
CALL NZ,nn	C4 nn nn	3	17/10
CALL P,nn	F4 nn nn	3	17/10
CALL PE,nn	EC nn nn	3	17/10
CALL PO,nn	E4 nn nn	3	17/10
CALL Z,nn	CC nn nn	3	17/10
CCF	3F	1	4
CP (HL)	BE	1	7
CP (IX+o)	DD BE o	3	19
CP (IY+o)	FD BE o	3	19
CP IXp	DD B8+p	2	8
CP IYq	FD B8+q	2	8
CP n	FE n	2	7
CP r	B8+r	1	4
CPD	ED A9	2	16
CPDR	ED B9	2	21/16
CPI	ED A1	2	16
CPIR	ED B1	2	21/16
CPL	2F	1	4
DAA	27	1	4
DEC (HL)	35	1	11
DEC (IX+o)	DD 35 o	3	23
DEC (IY+o)	FD 35 o	3	23
DEC A	3D	1	4
DEC B	5	1	4
DEC BC	0B	1	6
DEC C	0D	1	4
DEC D	15	1	4
DEC DE	1B	1	6
DEC E	1D	1	4
DEC H	25	1	4
DEC HL	2B	1	6
DEC IX	DD 2B	2	10
DEC IXp	DD 05+8*p	2	8
DEC IY	FD 2B	2	10
DEC IYq	FD 05+8*q	2	8
DEC L	2D	2	4
DEC SP	3B	1	6
DI	F3	1	4
DJNZ o	10 o	2	13/8
EI	FB	1	4
EX (SP),HL	E3	1	19
EX (SP),IX	DD E3	2	23
EX (SP),IY	FD E3	2	23
EX AF,AF'	8	1	4
