Column1	Column2	Column3	Column4	Column5	Column6	Column7
"ADC A,(HL)"	OCF(4)	MR(3)				
"ADC A,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"ADC A,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"ADC A,A"	OCF(4)					
"ADC A,B"	OCF(4)					
"ADC A,C"	OCF(4)					
"ADC A,D"	OCF(4)					
"ADC A,E"	OCF(4)					
"ADC A,H"	OCF(4)					
"ADC A,IXh"	OCF(4)					
"ADC A,IXl"	OCF(4)					
"ADC A,IYh"	OCF(4)					
"ADC A,IYl"	OCF(4)					
"ADC A,L"	OCF(4)					
"ADC A,n"	OCF(4)	OR(3)				
"ADC HL,BC"	OCF(4)	OCF(4)	IO(4)	IO(3)		
"ADC HL,DE"	OCF(4)	OCF(4)	IO(4)	IO(3)		
"ADC HL,HL"	OCF(4)	OCF(4)	IO(4)	IO(3)		
"ADC HL,SP"	OCF(4)	OCF(4)	IO(4)	IO(3)		
"ADD A,(HL)"	OCF(4)	MR(3)				
"ADD A,(IX+o)"	OCF(4)	OCF(4)	MR(3)			
"ADD A,(IY+o)"	OCF(4)	OCF(4)	MR(3)			
"ADD A,A"	OCF(4)					
"ADD A,B"	OCF(4)					
"ADD A,C"	OCF(4)					
"ADD A,D"	OCF(4)					
"ADD A,E"	OCF(4)					
"ADD A,H"	OCF(4)					
"ADD A,IXh"	OCF(4)					
"ADD A,IXl"	OCF(4)					
"ADD A,IYh"	OCF(4)					
"ADD A,IYl"	OCF(4)					
"ADD A,L"	OCF(4)					
"ADD A,n"	OCF(4)	OD(3)				
"ADD HL,BC"	OCF(4)	IO(4)	IO(3)			
"ADD HL,DE"	OCF(4)	IO(4)	IO(3)			
"ADD HL,HL"	OCF(4)	IO(4)	IO(3)			
"ADD HL,SP"	OCF(4)	IO(4)	IO(3)			
"ADD IX,BC"	OCF(4)	IO(4)	IO(3)			
"ADD IX,DE"	OCF(4)	IO(4)	IO(3)			
"ADD IX,IX"	OCF(4)	IO(4)	IO(3)			
"ADD IX,SP"	OCF(4)	IO(4)	IO(3)			
"ADD IY,BC"	OCF(4)	IO(4)	IO(3)			
"ADD IY,DE"	OCF(4)	IO(4)	IO(3)			
"ADD IY,IY"	OCF(4)	IO(4)	IO(3)			
"ADD IY,SP"	OCF(4)	IO(4)	IO(3)			
AND (HL)	OCF(4)	MR(3)				
AND (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
AND (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
AND A	OCF(4)					
AND B	OCF(4)					
AND C	OCF(4)					
AND D	OCF(4)					
AND E	OCF(4)					
AND H	OCF(4)					
AND IXh	OCF(4)					
AND IXl	OCF(4)					
AND IYh	OCF(4)					
AND IYl	OCF(4)					
AND L	OCF(4)					
AND n	OCF(4)	OD(3)				
"BIT 0,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 0,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 0,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 0,A"	OCF(4)	OCF(4)				
"BIT 0,B"	OCF(4)	OCF(4)				
"BIT 0,C"	OCF(4)	OCF(4)				
"BIT 0,D"	OCF(4)	OCF(4)				
"BIT 0,E"	OCF(4)	OCF(4)				
"BIT 0,H"	OCF(4)	OCF(4)				
"BIT 0,L"	OCF(4)	OCF(4)				
"BIT 1,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 1,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 1,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 1,A"	OCF(4)	OCF(4)				
"BIT 1,B"	OCF(4)	OCF(4)				
"BIT 1,C"	OCF(4)	OCF(4)				
"BIT 1,D"	OCF(4)	OCF(4)				
"BIT 1,E"	OCF(4)	OCF(4)				
"BIT 1,H"	OCF(4)	OCF(4)				
"BIT 1,L"	OCF(4)	OCF(4)				
"BIT 2,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 2,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 2,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 2,A"	OCF(4)	OCF(4)				
"BIT 2,B"	OCF(4)	OCF(4)				
"BIT 2,C"	OCF(4)	OCF(4)				
"BIT 2,D"	OCF(4)	OCF(4)				
"BIT 2,E"	OCF(4)	OCF(4)				
"BIT 2,H"	OCF(4)	OCF(4)				
"BIT 2,L"	OCF(4)	OCF(4)				
"BIT 3,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 3,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 3,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 3,A"	OCF(4)	OCF(4)				
"BIT 3,B"	OCF(4)	OCF(4)				
"BIT 3,C"	OCF(4)	OCF(4)				
"BIT 3,D"	OCF(4)	OCF(4)				
"BIT 3,E"	OCF(4)	OCF(4)				
"BIT 3,H"	OCF(4)	OCF(4)				
"BIT 3,L"	OCF(4)	OCF(4)				
"BIT 4,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 4,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 4,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 4,A"	OCF(4)	OCF(4)				
"BIT 4,B"	OCF(4)	OCF(4)				
"BIT 4,C"	OCF(4)	OCF(4)				
"BIT 4,D"	OCF(4)	OCF(4)				
"BIT 4,E"	OCF(4)	OCF(4)				
"BIT 4,H"	OCF(4)	OCF(4)				
"BIT 4,L"	OCF(4)	OCF(4)				
"BIT 5,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 5,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 5,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 5,A"	OCF(4)	OCF(4)				
"BIT 5,B"	OCF(4)	OCF(4)				
"BIT 5,C"	OCF(4)	OCF(4)				
"BIT 5,D"	OCF(4)	OCF(4)				
"BIT 5,E"	OCF(4)	OCF(4)				
"BIT 5,H"	OCF(4)	OCF(4)				
"BIT 5,L"	OCF(4)	OCF(4)				
"BIT 6,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 6,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 6,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 6,A"	OCF(4)	OCF(4)				
"BIT 6,B"	OCF(4)	OCF(4)				
"BIT 6,C"	OCF(4)	OCF(4)				
"BIT 6,D"	OCF(4)	OCF(4)				
"BIT 6,E"	OCF(4)	OCF(4)				
"BIT 6,H"	OCF(4)	OCF(4)				
"BIT 6,L"	OCF(4)	OCF(4)				
"BIT 7,(HL)"	OCF(4)	OCF(4)	MR(4)			
"BIT 7,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 7,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	
"BIT 7,A"	OCF(4)	OCF(4)				
"BIT 7,B"	OCF(4)	OCF(4)				
"BIT 7,C"	OCF(4)	OCF(4)				
"BIT 7,D"	OCF(4)	OCF(4)				
"BIT 7,E"	OCF(4)	OCF(4)				
"BIT 7,H"	OCF(4)	OCF(4)				
"BIT 7,L"	OCF(4)	OCF(4)				
"CALL C,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
"CALL M,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
"CALL NC,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
CALL nn	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
"CALL NZ,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
"CALL P,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
"CALL PE,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
"CALL PO,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
"CALL Z,nn"	OCF(4)	ODL(3)	ODH(4)	SWH(3)*	SWL(3)*	
CCF	OCF(4)					
CP (HL)	OCF(4)	MR(3)				
CP (IX+o)	OCF(4)	OCF(4)	MR(3)			
CP (IY+o)	OCF(4)	OCF(4)	MR(3)			
CP A	OCF(4)					
CP B	OCF(4)					
CP C	OCF(4)					
CP D	OCF(4)					
CP E	OCF(4)					
CP H	OCF(4)					
CP IXh	OCF(4)					
CP IXl	OCF(4)					
CP IYh	OCF(4)					
CP IYl	OCF(4)					
CP L	OCF(4)					
CP n	OCF(4)	OD(3)				
CPD	OCF(4)	OCF(4)	MR(3)	MW(5)		
CPDR	OCF(4)	OCF(4)	MR(3)	MW(5)	IO(5)*	
CPI	OCF(4)	OCF(4)	MR(3)	MW(5)		
CPIR	OCF(4)	OCF(4)	MR(3)	MW(5)	IO(5)*	
CPL	OCF(4)					
DAA	OCF(4)					
DEC (HL)	OCF(4)	MR(4)	MW(3)			
DEC (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
DEC (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
DEC A	OCF(4)					
DEC B	OCF(4)					
DEC BC	OCF(6)					
DEC C	OCF(4)					
DEC D	OCF(4)					
DEC DE	OCF(6)					
DEC E	OCF(4)					
DEC H	OCF(4)					
DEC HL	OCF(6)					
DEC IX	OCF(4)	OCF(6)				
DEC IXh	OCF(4)					
DEC IXl	OCF(4)					
DEC IY	OCF(4)	OCF(6)				
DEC IYh	OCF(4)					
DEC IYl	OCF(4)					
DEC L	OCF(4)					
DEC SP	OCF(6)					
DI	OCF(4)					
DJNZ o	OCF(5)	OD(3)	IO(5)*			
EI	OCF(4)					
"EX (SP),HL"	OCF(4)	SRL(3)	SRH(4)	SWH(3)	SWL(5)	
"EX (SP),IX"	OCF(4)	OCF(4)	SRL(3)	SRH(4)	SWH(3)	SWL(5)
"EX (SP),IY"	OCF(4)	OCF(4)	SRL(3)	SRH(4)	SWH(3)	SWL(5)
"EX AF,AF'"	OCF(4)					
"EX DE,HL"	OCF(4)					
EXX	OCF(4)					
HALT	OCF(4)					
IM 0	OCF(4)	OCF(4)				
IM 1	OCF(4)	OCF(4)				
IM 2	OCF(4)	OCF(4)				
"IN A,(C)"	OCF(4)	OCF(4)	PR(4)			
"IN A,(n)"	OCF(4)	OD(3)	PR(4)			
"IN B,(C)"	OCF(4)	OCF(4)	PR(4)			
"IN C,(C)"	OCF(4)	OCF(4)	PR(4)			
"IN D,(C)"	OCF(4)	OCF(4)	PR(4)			
"IN E,(C)"	OCF(4)	OCF(4)	PR(4)			
"IN F,(C)"	OCF(4)	OCF(4)	PR(4)			
"IN H,(C)"	OCF(4)	OCF(4)	PR(4)			
"IN L,(C)"	OCF(4)	OCF(4)	PR(4)			
INC (HL)	OCF(4)	MR(4)	MW(3)			
INC (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
INC (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
INC A	OCF(4)					
INC B	OCF(4)					
INC BC	OCF(6)					
INC C	OCF(4)					
INC D	OCF(4)					
INC DE	OCF(6)					
INC E	OCF(4)					
INC H	OCF(4)					
INC HL	OCF(6)					
INC IX	OCF(4)	OCF(6)				
INC IXh	OCF(4)					
INC IXl	OCF(4)					
INC IY	OCF(4)	OCF(6)				
INC IYh	OCF(4)					
INC IYl	OCF(4)					
INC L	OCF(4)					
INC SP	OCF(6)					
IND	OCF(4)	OCF(5)	PR(4)	MW(3)		
INDR	OCF(4)	OCF(5)	PR(4)	MW(3)	IO(5)	
INI	OCF(4)	OCF(5)	PR(4)	MW(3)		
INIR	OCF(4)	OCF(5)	PR(4)	MW(3)	IO(5)	
"JP C,nn"	ODF(4)	ODL(3)	ODH(3)			
JP HL	ODF(4)					
JP IX	ODF(4)	OCF(4)				
JP IY	ODF(4)	OCF(4)				
"JP M,nn"	ODF(4)	ODL(3)	ODH(3)			
"JP NC,nn"	ODF(4)	ODL(3)	ODH(3)			
JP nn	ODF(4)	ODL(3)	ODH(3)			
